"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 20 14:34:35 IDT 2022","Sat Aug 20 14:34:42 IDT 2022","7361","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test07_loginWithDDTAndVerify","Test07 - Login with Data Driven Testing","This test verifies login with different users, using Data Driven Testing and SoftAsserts"
"broken","Sat Aug 20 14:50:28 IDT 2022","Sat Aug 20 14:50:28 IDT 2022","17","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","startSession","startSession",""
"passed","Sun Aug 21 22:42:31 IDT 2022","Sun Aug 21 22:42:32 IDT 2022","1358","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test04_checkoutAndVerify","Test04 - Verifies at Checkout","This test does checkout and verifies at product name and price"
"skipped","Sat Aug 20 14:50:29 IDT 2022","Sat Aug 20 14:50:29 IDT 2022","29","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test05_addToCartAndVerify","Test05 - Verifies Adding Product to Cart","This test adds product to cart and verifies adding"
"passed","Sun Aug 21 22:42:45 IDT 2022","Sun Aug 21 22:42:52 IDT 2022","6456","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test05_loginWithDDTAndVerify","Test05 - Login with Data Driven Testing","This test verifies login with different users, using Data Driven Testing and SoftAsserts"
"passed","Sat Aug 20 14:34:42 IDT 2022","Sat Aug 20 14:34:49 IDT 2022","6507","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test07_loginWithDDTAndVerify","Test07 - Login with Data Driven Testing","This test verifies login with different users, using Data Driven Testing and SoftAsserts"
"passed","Sun Aug 21 22:42:25 IDT 2022","Sun Aug 21 22:42:27 IDT 2022","2644","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test01_verifyTitle","Test01 - Verifies at Title of Mainpage after Login","This test logins and verifies a title of mainpage"
"passed","Sun Aug 21 14:50:08 IDT 2022","Sun Aug 21 14:50:14 IDT 2022","5996","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test07_loginWithDDTAndVerify","Test07 - Login with Data Driven Testing","This test verifies login with different users, using Data Driven Testing and SoftAsserts"
"passed","Sun Aug 21 22:42:39 IDT 2022","Sun Aug 21 22:42:45 IDT 2022","6217","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test05_loginWithDDTAndVerify","Test05 - Login with Data Driven Testing","This test verifies login with different users, using Data Driven Testing and SoftAsserts"
"skipped","Sat Aug 20 14:50:29 IDT 2022","Sat Aug 20 14:50:29 IDT 2022","2","Suite Web Testing","Web Testing Saucedemo","sanity.SaucedemoWeb","sanity.SaucedemoWeb","test06_checkoutAndVerify","Test06 - Verifies at Checkout","This test does checkout and verifies at product name and price"
